VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,source_month,source_file
2,2025-07-26 23:30:12,2025-07-27 00:03:02,N,1.0,97,93,1.0,6.44,31.0,1.0,0.5,10.05,0.0,,1.0,43.55,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-01 06:56:54,2025-07-01 07:10:48,N,1.0,74,75,1.0,1.82,14.9,0.0,0.5,3.28,0.0,,1.0,19.68,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-18 18:41:16,2025-07-18 18:52:02,N,1.0,75,74,1.0,1.35,11.4,2.5,0.5,0.08,0.0,,1.0,15.48,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
1,2025-07-26 20:51:08,2025-07-26 21:00:39,N,1.0,41,141,1.0,2.9,14.2,3.75,1.5,3.85,0.0,,1.0,23.3,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-09 11:33:39,2025-07-09 11:41:50,N,1.0,75,74,1.0,1.46,10.0,0.0,0.5,0.0,0.0,,1.0,11.5,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
1,2025-07-12 17:04:32,2025-07-12 17:08:39,N,1.0,236,43,1.0,0.8,6.5,0.0,1.5,0.0,0.0,,1.0,8.0,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-04 17:01:56,2025-07-04 17:24:04,N,1.0,95,258,1.0,3.57,22.6,0.0,0.5,0.0,0.0,,1.0,24.1,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-23 15:18:32,2025-07-23 15:23:01,N,1.0,166,152,1.0,0.67,6.5,0.0,0.5,0.0,0.0,,1.0,8.0,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-23 12:47:07,2025-07-23 12:57:20,N,1.0,74,140,1.0,3.14,14.9,0.0,0.5,3.83,0.0,,1.0,22.98,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-12 12:10:23,2025-07-12 12:19:44,N,1.0,97,61,1.0,2.01,12.1,0.0,0.5,2.72,0.0,,1.0,16.32,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
